"Year","Round","HomeSeed","HomeTeam","HomeScore","AwaySeed","AwayTeam","AwayScore"
"2017","Play-In","16","Mount St. Mary's","67","16","New Orleans","66"
"2017","Play-In","11","Kansas State","95","11","Wake Forest","88"
"2017","Play-In","16","North Carolina Central","63","16","UC Davis","67"
"2017","Play-In","11","Southern California","75","11","Providence","71"
"2017","First Round","5","Notre Dame","60","12","Princeton","58"
"2017","First Round","4","West Virginia","86","13","Bucknell","80"
"2017","First Round","5","Virginia","76","12","UNC Wilmington","71"
"2017","First Round","4","Florida","80","13","East Tennessee State","65"
"2017","First Round","1","Gonzaga","66","16","South Dakota State","46"
"2017","First Round","8","Northwestern","68","9","Vanderbilt","66"
"2017","First Round","7","St. Mary's (Cal.)","85","10","Virginia Commonwealth","77"
"2017","First Round","2","Arizona","100","15","North Dakota","82"
"2017","First Round","5","Iowa State","84","12","Nevada","73"
"2017","First Round","4","Purdue","80","13","Vermont","70"
"2017","First Round","5","Minnesota","72","12","Middle Tennessee State","81"
"2017","First Round","4","Butler","76","13","Winthrop","64"
"2017","First Round","1","Villanova","76","16","Mount St. Mary's","56"
"2017","First Round","8","Wisconsin","84","9","Virginia Tech","74"
"2017","First Round","6","Maryland","65","11","Xavier","76"
"2017","First Round","3","Florida State","86","14","Florida Gulf Coast","80"
"2017","First Round","6","Southern Methodist","65","11","Southern California","66"
"2017","First Round","3","Baylor","91","14","New Mexico State","73"
"2017","First Round","1","Kansas","100","16","UC Davis","62"
"2017","First Round","8","Miami (Fla.)","58","9","Michigan State","78"
"2017","First Round","7","South Carolina","93","10","Marquette","73"
"2017","First Round","2","Duke","87","15","Troy","65"
"2017","First Round","1","North Carolina","103","16","Texas Southern","64"
"2017","First Round","8","Arkansas","77","9","Seton Hall","71"
"2017","First Round","6","Creighton","72","11","Rhode Island","84"
"2017","First Round","3","Oregon","93","14","Iona","77"
"2017","First Round","6","Cincinnati","75","11","Kansas State","61"
"2017","First Round","3","UCLA","97","14","Kent State","80"
"2017","First Round","7","Michigan","92","10","Oklahoma State","91"
"2017","First Round","2","Louisville","78","15","Jacksonville State","63"
"2017","First Round","7","Dayton","58","10","Wichita State","64"
"2017","First Round","2","Kentucky","79","15","Northern Kentucky","70"
"2017","Second Round","1","Villanova","62","8","Wisconsin","65"
"2017","Second Round","5","Notre Dame","71","4","West Virginia","83"
"2017","Second Round","1","Virginia","39","4","Florida","65"
"2017","Second Round","11","Xavier","91","3","Florida State","66"
"2017","Second Round","1","Gonzaga","79","8","Northwestern","73"
"2017","Second Round","7","St. Mary's (Cal.)","60","2","Arizona","69"
"2017","Second Round","5","Iowa State","76","4","Purdue","80"
"2017","Second Round","12","Middle Tennessee State","65","4","Butler","74"
"2017","Second Round","7","Michigan","73","2","Louisville","69"
"2017","Second Round","10","Wichita State","62","2","Kentucky","65"
"2017","Second Round","1","Kansas","90","9","Michigan State","70"
"2017","Second Round","1","North Carolina","72","8","Arkansas","65"
"2017","Second Round","11","Rhode Island","72","3","Oregon","75"
"2017","Second Round","11","Southern California","78","3","Baylor","82"
"2017","Second Round","7","South Carolina","88","2","Duke","81"
"2017","Second Round","6","Cincinnati","67","3","UCLA","79"
"2017","Sweet 16","8","Wisconsin","83","4","Florida","84"
"2017","Sweet 16","3","Baylor","50","7","South Carolina","70"
"2017","Sweet 16","1","Kansas","98","4","Purdue","66"
"2017","Sweet 16","3","Oregon","69","7","Michigan","68"
"2017","Sweet 16","1","Gonzaga","61","4","West Virginia","58"
"2017","Sweet 16","11","Xavier","73","2","Arizona","71"
"2017","Sweet 16","1","North Carolina","92","4","Butler","80"
"2017","Sweet 16","3","UCLA","75","2","Kentucky","86"
"2017","Elite Eight","1","Gonzaga","83","11","Xavier","59"
"2017","Elite Eight","1","Kansas","60","3","Oregon","74"
"2017","Elite Eight","4","Florida","70","7","South Carolina","77"
"2017","Elite Eight","1","North Carolina","75","2","Kentucky","73"
"2017","Final Four","7","South Carolina","73","1","Gonzaga","77"
"2017","Final Four","3","Oregon","76","1","North Carolina","77"
"2017","National Championship","1","Gonzaga","65","1","North Carolina","71"
"2016","First Round","2","Villanova","86","15","UNC Asheville","56"
"2016","First Round","7","Iowa","72","10","Temple","70"
"2016","First Round","3","Miami (Fla.)","79","14","Buffalo","72"
"2016","Play-In","11","Wichita State","70","11","Vanderbilt","50"
"2016","First Round","4","California","66","13","Hawaii","77"
"2016","First Round","5","Maryland","79","12","South Dakota State","74"
"2016","First Round","8","Colorado","67","9","Connecticut","74"
"2016","First Round","1","Kansas","105","16","Austin Peay","79"
"2016","First Round","2","Oklahoma","82","15","Cal State Bakersfield","68"
"2016","First Round","7","Oregon State","67","10","Virginia Commonwealth","75"
"2016","First Round","3","Texas A&M","92","14","Green Bay","65"
"2016","First Round","6","Texas","72","11","Northern Iowa","75"
"2016","First Round","4","Duke","93","13","UNC Wilmington","85"
"2016","First Round","12","Yale","79","5","Baylor","75"
"2016","First Round","8","St. Joseph's","78","9","Cincinnati","76"
"2016","First Round","2","Xavier","71","15","Weber State","53"
"2016","First Round","10","Pittsburgh","43","7","Wisconsin","47"
"2016","First Round","3","West Virginia","56","14","Stephen F. Austin","70"
"2016","First Round","4","Kentucky","85","13","Stony Brook","57"
"2016","First Round","5","Indiana","99","12","Chattanooga","74"
"2016","First Round","8","Southern California","69","9","Providence","70"
"2016","First Round","1","North Carolina","83","16","Florida Gulf Coast","67"
"2016","First Round","1","Virginia","81","16","Hampton","45"
"2016","First Round","8","Texas Tech","61","9","Butler","71"
"2016","First Round","5","Purdue","83","12","Arkansas-Little Rock","85"
"2016","First Round","4","Iowa State","94","13","Iona","81"
"2016","First Round","6","Seton Hall","52","11","Gonzaga","68"
"2016","First Round","3","Utah","80","14","Fresno State","69"
"2016","First Round","7","Dayton","51","10","Syracuse","70"
"2016","First Round","2","Michigan State","81","15","Middle Tennessee State","90"
"2016","Play-In","16","Fairleigh Dickinson","65","16","Florida Gulf Coast","96"
"2016","Play-In","16","Holy Cross","59","16","Southern","55"
"2016","Play-In","11","Tulsa","62","11","Michigan","67"
"2016","First Round","6","Arizona","55","11","Wichita State","65"
"2016","First Round","1","Oregon","91","16","Holy Cross","52"
"2016","First Round","6","Notre Dame","70","11","Michigan","63"
"2016","Second Round","1","Kansas","73","9","Connecticut","61"
"2016","Second Round","11","Wichita State","57","3","Miami (Fla.)","65"
"2016","Second Round","12","Yale","64","4","Duke","71"
"2016","Second Round","1","North Carolina","85","9","Providence","66"
"2016","Second Round","5","Indiana","73","4","Kentucky","67"
"2016","Second Round","1","Virginia","77","9","Butler","69"
"2016","Second Round","12","Arkansas-Little Rock","61","4","Iowa State","78"
"2016","Second Round","11","Gonzaga","82","3","Utah","59"
"2016","Second Round","2","Villanova","87","7","Iowa","68"
"2016","Second Round","6","Notre Dame","76","14","Stephen F. Austin","75"
"2016","Second Round","2","Oklahoma","85","10","Virginia Commonwealth","81"
"2016","Second Round","10","Syracuse","75","15","Middle Tennessee State","50"
"2016","Second Round","5","Maryland","73","13","Hawaii","60"
"2016","Second Round","3","Texas A&M","92","11","Northern Iowa","88"
"2016","Second Round","2","Xavier","63","7","Wisconsin","66"
"2016","Second Round","1","Oregon","69","8","St. Joseph's","64"
"2016","Sweet 16","1","Oregon","82","4","Duke","68"
"2016","Sweet 16","3","Texas A&M","63","2","Oklahoma","77"
"2016","Sweet 16","1","Virginia","84","4","Iowa State","71"
