TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,EM,RankEM
Duke,71.4714,91,70.9875,107,110.848,9,115.708,3,89.03,9,83.8667,2,31.8411,1
"Saint Joseph's",69.3804,177,69.7157,151,112.093,6,114.178,4,88.5572,5,86.9708,11,27.2071,2
Gonzaga,70.4263,133,70.0517,141,116.189,1,117.059,2,92.7667,43,90.9756,34,26.0832,3
Pittsburgh,62.278,316,62.8225,316,108.691,19,110.859,15,88.277,4,85.3846,4,25.4739,4
Connecticut,72.2787,66,71.824,69,108.872,17,111.352,14,88.6781,7,86.1308,7,25.221,5
"Georgia Tech",74.3378,24,73.5467,28,104.519,58,109.959,20,90.0424,15,85.7086,5,24.25,6
"North Carolina St.",68.13,211,66.9697,254,107.222,25,113.982,5,95.5978,92,90.3465,30,23.6356,7
"Oklahoma St.",69.2597,182,69.2411,180,112.554,3,113.536,7,91.8775,31,90.1137,28,23.4226,8
Kentucky,69.3911,175,69.2142,181,103.876,71,108.001,36,90.0001,14,84.6056,3,23.3954,9
Cincinnati,70.2552,141,69.9043,146,109.282,14,111.688,12,89.4442,10,88.312,15,23.3764,10
Wisconsin,62.4006,314,63.5754,313,109.037,16,110.212,18,90.4373,18,87.049,12,23.1626,11
Stanford,68.4679,199,68.1441,214,108.116,22,108.421,29,88.6078,6,85.8612,6,22.5603,12
"North Carolina",76.0515,9,74.7965,11,106.607,31,112.649,10,96.9225,114,90.1696,29,22.4798,13
"Mississippi St.",71.363,94,71.3315,90,106.212,33,110.181,19,91.3115,23,88.1198,14,22.0616,14
"Wake Forest",74.3739,23,73.3603,30,110.666,10,117.673,1,100.193,190,95.8325,105,21.8404,15
Louisville,71.2945,96,71.0472,105,101.342,101,102.448,91,84.6651,1,81.3094,1,21.1383,16
Texas,70.1418,143,68.782,192,109.703,11,110.477,16,94.1722,66,89.7447,23,20.7324,17
Florida,70.561,125,69.6714,154,108.562,20,112.762,9,96.6396,108,92.7515,55,20.0105,18
Illinois,66.5154,262,66.8265,260,109.443,13,112.191,11,93.9881,61,92.5606,50,19.6299,19
Maryland,75.2524,16,74.4425,17,101.033,106,105.495,61,93.582,54,86.6771,9,18.8179,20
Vanderbilt,69.4186,172,69.1268,184,105.981,37,108.314,30,93.3363,51,89.8538,27,18.4606,21
Nevada,70.9204,111,71.6587,76,106.06,35,107.949,37,92.7849,44,89.5726,21,18.3764,22
Providence,67.8186,224,68.2417,209,104.685,54,108.152,33,94.4819,74,89.8307,26,18.3208,23
Kansas,71.7144,85,71.9985,61,103.894,70,107.171,45,94.8621,80,89.3025,18,17.8684,24
Xavier,66.9575,251,67.3598,242,104.808,52,106.942,49,92.572,39,89.432,20,17.5099,25
"Florida St.",69.5437,163,68.2733,208,100.295,118,104.252,73,91.7735,29,86.7756,10,17.4767,26
"Seton Hall",68.8642,193,69.2919,177,104.1,65,106.921,50,92.8192,45,89.6927,22,17.2286,27
"Western Michigan",70.6214,122,70.4436,129,111.082,7,109.886,21,92.6717,40,92.9409,60,16.945,28
Arizona,78.006,2,77.1494,2,112.293,5,113.681,6,100.847,207,97.396,139,16.2853,29
"South Carolina",68.938,189,68.6534,197,101.978,95,106.968,48,90.5829,19,90.7999,32,16.1677,30
BYU,67.4973,233,68.5128,201,106.046,36,107.808,38,97.0002,117,91.7676,44,16.0401,31
Alabama,67.6388,228,67.6602,231,104.665,57,109.57,22,98.2663,149,93.5991,69,15.9705,32
"Air Force",54.8353,326,55.4033,326,109.463,12,108.615,26,91.9976,33,92.6651,54,15.9496,33
Memphis,70.5496,127,70.4339,130,104.669,56,108.115,34,93.9528,60,92.4271,48,15.6876,34
"Texas Tech",71.0032,108,70.6732,119,103.09,81,105.395,62,93.7496,57,89.762,24,15.6327,35
Syracuse,69.6391,160,69.6122,158,104.036,67,106.496,53,95.4827,91,91.1803,36,15.3156,36
"Utah St.",60.4882,323,61.3087,322,112.68,2,111.357,13,94.5066,76,96.4235,117,14.9337,37
