"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2017","Abilene Christian",67.8499,253,65.3509,276,98.1244,284,96.5648,309,105.157,208,108.896,255,-12.3308,302
"2017","Air Force",68.9391,210,66.5322,232,102.559,183,104.264,174,108.637,287,109.56,271,-5.29639,222
"2017","Akron",67.8133,259,65.1598,285,112.89,21,112.918,42,104.841,202,106.96,217,5.95775,100
"2017","Alabama",67.3984,273,64.6155,301,100.248,238,105.079,156,94.7225,17,92.4373,14,12.6416,57
"2017","Alabama A&M",65.5759,320,63.6722,322,93.1718,335,91.6149,342,117.218,350,121.845,350,-30.2304,351
"2017","Alabama St.",69.452,180,67.9611,156,93.1581,336,91.0842,346,106.208,231,112.652,315,-21.5676,342
"2017","Albany",64.9977,330,63.7178,320,109.06,64,107.764,114,102.085,140,104.61,173,3.15345,126
"2017","Alcorn St.",68.6334,227,67.2533,201,98.2934,281,95.4311,323,99.9804,80,105.812,192,-10.3814,283
"2017","American",65.1501,328,63.8393,317,94.1691,328,94.878,328,104.676,199,108.124,242,-13.2463,309
"2017","Appalachian St.",71.4148,80,70.0456,59,98.3913,278,99.6175,263,108.168,270,108.749,252,-9.13105,269
"2017","Arizona",67.3107,276,65.3072,278,113.069,19,117.411,20,97.3254,43,94.9315,31,22.4797,21
"2017","Arizona St.",72.4749,47,69.4912,81,107.536,89,111.671,53,112.335,332,109.348,265,2.32254,133
"2017","Arkansas",71.4812,74,69.0022,95,111.441,36,116.607,26,103.717,179,101.054,97,15.5531,37
"2017","Arkansas Pine Bluff",68.7178,221,67.1005,207,87.7185,350,85.6347,351,105.688,222,110.831,297,-25.1963,348
"2017","Arkansas St.",68.5418,231,66.8083,217,105.399,136,106.461,137,101.049,112,103.219,149,3.24188,125
"2017","Army",71.9306,59,70.8554,37,98.9956,266,98.3637,284,100.889,109,104.782,176,-6.41873,237
"2017","Auburn",75.2285,11,73.0881,10,106.061,120,111.663,54,105.17,209,103.459,157,8.20358,82
"2017","Austin Peay",71.604,68,69.5046,79,105.32,140,106.032,145,117.643,351,117.117,342,-11.0852,290
"2017","Ball St.",72.7105,42,70.4462,50,105.82,124,104.766,160,102.634,152,105.242,185,-0.475725,177
"2017","Baylor",64.7605,335,62.6793,337,110.859,42,117.27,22,97.5262,44,92.1936,12,25.076,12
"2017","Belmont",69.0539,202,67.5282,187,110.528,47,110.479,68,101.12,118,102.877,138,7.60244,86
"2017","Bethune Cookman",69.7597,158,67.7553,172,98.5587,274,95.0337,326,109.999,311,115.247,335,-20.2137,340
"2017","Binghamton",66.7737,291,65.4372,273,97.2953,297,96.1967,315,106.799,242,109.832,279,-13.635,311
"2017","Boise St.",70.4713,116,68.9504,99,107.015,97,109.719,78,102.251,142,102.381,123,7.33769,91
"2017","Boston College",72.5059,46,70.6129,43,100.055,244,104.267,173,108.431,279,103.897,161,0.369893,161
"2017","Boston University",69.9055,152,69.1779,89,102.176,196,101.379,226,100.267,91,103.429,156,-2.05012,192
"2017","Bowling Green",72.3999,49,69.468,82,99.8749,247,100.066,255,105.822,224,107.224,223,-7.15796,248
"2017","Bradley",68.3821,238,67.0558,212,95.2241,325,98.4643,283,103.654,175,102.729,136,-4.26466,215
"2017","Brown",71.8321,63,70.7889,41,104.071,162,104.107,179,110.683,323,113.897,325,-9.78991,277
"2017","Bryant",69.994,145,68.6319,109,102.465,189,101.726,224,108.175,272,111.969,306,-10.2428,281
"2017","Bucknell",70.4393,118,69.2776,86,108.236,78,109.061,89,96.036,32,100.303,86,8.75774,80
"2017","Buffalo",73.3066,32,70.8453,38,104.83,147,105.323,154,101.969,137,102.187,118,3.13573,127
"2017","Butler",66.9222,286,64.9197,295,112.888,22,117.942,17,101.51,130,97.1421,49,20.8002,26
"2017","BYU",75.3401,10,74.9255,4,106.438,113,109.076,88,97.6776,46,99.3786,72,9.69784,75
"2017","Cal Poly",66.6878,294,64.892,297,99.0526,262,99.8244,259,109.024,291,113.052,319,-13.2275,308
